Name,Road,X,Y,Z
Spawn,Northern Highway,15,99,-52
Pimenov Dairy,Northern Highway,-19,100,-228
Boreal Forrest 1,Northern Highway,-150,100,-421
Manor Road-Northern Highway Interchange,Northern Highway,-15,99,-500
Perkins Ruin,Manor Road,-456,99,-499
Manor Road-Desert Road Interchange (Uniced),Manor Road,-853,99,-501
Woodland Manor,Manor Road,-853,99,-548
Forest Hill-Northern Highway Interchange,Northern Highway,-14,100,-799
Dark Forest,Forest Hill Road,350,99,-800
MacLeod Road-Northern Highway Interchange,Northern Highway,-15,100,-906
Auld MacLeod House,MacLeod Road,-832,99,-906
Strider Race,Northern Highway,-12,100,-950
Mushroom Island,Northern Highway,-11,99,-1326
Kennedy Line-Northern Highway Interchange,Northern Highway,-15,99,-1325
Glenrothes,Northern Highway,-9,104,-1827
St. Andrews,Northern Highway,28,99,-2526
Meerloch,Kennedy Line,-1470,100,-1330
Deadbush Hills,Kennedy Line,-1761,100,-1318
End Portal,Kennedy Line,-1800,99,-1323
Great Northern Ocean,Kennedy Line,-1876,100,-1323
New Portsmouth (Town Hall),Kennedy Line,-1947,89,-1343
Kennedy Island,Kennedy Line,-1981,64,-1371
Kennedy Line-Western Highway Bypass Interchange,Kennedy Line,-1938,100,-1325
New Portsmouth (Industrial District),Kennedy Line,-1991,79,-1314
Muirgate,Kennedy Line,-2125,99,-1329
Kennedy Farm House,Kennedy Line,-2155,99,-1343
Eighgarg,Kennedy Line,-2187,99,-1436
New Portsmouth (South),Western Highway Bypass,-1940,99,-1264
Deepdark (FREE DIAMONDS),Western Highway,-162,102,75
Lush Cave,Western Highway,-522,101,-23
Desert Road-Western Highway Interchange,Western Highway,-861,101,24
Desert Road-Manor Road Interchange (Uniced),Desert Road,-860,101,-501
Desert Village,Desert Road,-861,101,-777
Cave 1,Western Highway,-1252,100,27
Greatistan,Western Highway,-1339,111,-92
The Pit,Western Highway,-1400,115,38
Bender & Mac,Western Highway,-1492,101,27
Western Highway-Western Highway Bypass Interchange,Western Highway,-1938,101,24
K1wi Hause (Providing connections to Nether Highway Roof),Western Highway,-3027,79,60
Spawn (Ice Spikes),Southern Highway,-50,98,90
End Portal (Spawn),Southern Highway,69,100,203
Shen's Base (Must walk on unpaved road to reach),Southern Highway,51,59,745
End Portal (Southern),Southern Highway,-132,98,681
Josh Ice Base,Southern Highway,75,100,1000
Stoney Hills & Jungle,Southern Highway,14,98,1123
Chinese House,Eastern Highway,349,99,0
Llama Farm (in Overworld),Eastern Highway (Nether Roof),450,129,-15
Gold Farm (in Nether),Eastern Highway (Nether Roof),7620,128,-16
